Sort,YEAR,PROJECT_CODE,SURVEY_AREA,BED,STATION_ID,STATION_TYPE,DATE_SET,VESSEL_NAME,SPECIES_CODE,SEX_CODE,CONDITION_CODE,SCAL_SIZE_CLASS,SHELL_HEIGHT_MM,SCALLOP_MATURITY_CODE,SCAL_GONAD_COND,AGE_STRUCTURE_COLLECTED,AGE_STRUCTURE_TYPE_CODE,WEIGHT_KG,MEAT_WEIGHT_GRAMS,EPIBIONT_WEIGHT_GRAMS,MUD_BLISTER_CODE,OTHER_WORM_CODE,MEAT_CONDITION,D1,D2,D3,SAMPLER,FIRST_ANNULUS_FIELD,FIELD_AGE,FIELD_AGER,AGE_ESTIMATED,Event_ID,Scallop_Number,Age 1,Age 1 First Ann,Age 1 Readability,Age 1 Cmts,Ager 1,Age 1 Date,Age 2,Age 2 First Ann,Age 2 Readability,Age 2 Cmts,Ager 2,Age 2 Date,QC_Comments,Need_Resolving,Resolved_Age,Resolved_Age_QC,Date_Resolved,Released_Age
12,2016,D02,Kayak Scallop Dredge,West,G 34,Standard,4/14/2016 0:00,Solstice,850,9,1,2,37,,0,1,TopShell,,,,0,0,G,A,,,MDS,28,1,MDS,,2016D02001,12,1,28,9,,Andy Pollak,12/12/2017 0:00,2,15,2,,Joe Loboy,12/7/2017 0:00,,,,,,1
13,2016,D02,Kayak Scallop Dredge,West,H 32,Standard,4/14/2016 0:00,Solstice,850,1,1,1,140,,2,1,TopShell,0.16,19,,0,0,G,A,,,MDS,30,10,MDS,,2016D02002,1,11,17,9,,Andy Pollak,12/12/2017 0:00,10,17,3,,Joe Loboy,12/7/2017 0:00,,,,,,11
14,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,1,1,1,108,,3,1,TopShell,0.08,11,,0,0,G,A,,,MDS,31,5,MDS,,2016D02003,1,6,31,9,,Andy Pollak,12/12/2017 0:00,6,29,2,,Joe Loboy,12/7/2017 0:00,,,,,,6
15,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,1,1,1,132,,3,1,TopShell,0.16,17,,0,Q,G,A,,,MDS,27,9,MDS,,2016D02003,2,12,28,9,,Andy Pollak,12/12/2017 0:00,13,17,3,,Joe Loboy,12/7/2017 0:00,,,,,,12
16,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,1,1,1,116,,3,1,TopShell,0.12,13,8,0,0,G,A,,,MDS,35,5,MDS,,2016D02003,3,6,35,9,,Andy Pollak,12/12/2017 0:00,7,16,2,,Joe Loboy,12/7/2017 0:00,,,,,,6
17,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,2,1,1,128,,3,1,TopShell,0.15,15,9,0,0,G,A,,,MDS,23,10,MDS,,2016D02003,4,10,22,9,,Andy Pollak,12/12/2017 0:00,11,20,3,,Joe Loboy,12/7/2017 0:00,,,,,,10
18,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,2,1,1,129,,3,1,TopShell,0.21,16,43,0,0,G,A,,,MDS,27,8,MDS,,2016D02003,5,10,23,9,,Andy Pollak,12/12/2017 0:00,11,25,3,,Joe Loboy,12/7/2017 0:00,,,,,,10
19,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,2,1,1,127,,3,1,TopShell,0.16,18,10,0,0,G,A,,,MDS,35,9,MDS,,2016D02003,6,10,18,9,,Andy Pollak,12/12/2017 0:00,10,19,3,,Joe Loboy,12/7/2017 0:00,,,,,,10
20,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,1,1,1,133,,3,1,TopShell,0.2,18,,0,0,G,A,,,MDS,26,11,MDS,,2016D02003,7,16,26,9,15,Andy Pollak,12/12/2017 0:00,15,25,3,,Joe Loboy,12/7/2017 0:00,,,,,,16
21,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,2,1,1,118,,3,1,TopShell,0.16,17,10,0,0,G,A,,,MDS,29,10,MDS,,2016D02003,8,12,28,9,11 on left,Andy Pollak,12/12/2017 0:00,12,28,3,13?,Joe Loboy,12/7/2017 0:00,,,,,,12
22,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,1,1,1,,,3,1,TopShell,0.15,14,9,0,0,G,B,,,MDS,30,8,MDS,,2016D02003,9,10,29,9,9,Andy Pollak,12/12/2017 0:00,8,27,3,,Joe Loboy,12/7/2017 0:00,,,,,,10
23,2016,D02,Kayak Scallop Dredge,West,L 31,Standard,4/16/2016 0:00,Solstice,850,2,1,1,127,,3,1,TopShell,0.16,16,8,0,0,G,A,,,MDS,30,10,MDS,,2016D02003,10,12,17,9,,Andy Pollak,12/12/2017 0:00,13,17,3,,Joe Loboy,12/7/2017 0:00,,,,,,12
24,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,110,,3,1,TopShell,0.13,9,10,0,0,G,A,,,MDS,24,8,MDS,,2016D02004,1,8,22,2,,Andy Pollak,12/14/2017 0:00,8,22,3,,Joe Loboy,12/7/2017 0:00,,,,,,8
25,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,119,,3,1,TopShell,0.15,9,17,0,0,G,A,,,MDS,33,6,MDS,,2016D02004,2,8,15,2,,Andy Pollak,12/14/2017 0:00,8,16,2,,Joe Loboy,12/7/2017 0:00,,,,,,8
26,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,110,,3,1,TopShell,0.12,14,,0,0,G,A,,,MDS,31,6,MDS,,2016D02004,3,8,17,2,,Andy Pollak,12/14/2017 0:00,8,17,2,,Joe Loboy,12/7/2017 0:00,,,,,,8
27,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,109,,3,1,TopShell,0.13,10,,0,0,G,A,,,MDS,30,5,MDS,,2016D02004,4,7,13,2,,Andy Pollak,12/14/2017 0:00,7,12,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
28,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,98,,3,1,TopShell,0.08,12,,0,0,G,A,,,MDS,30,3,MDS,,2016D02004,5,5,16,2,4? Looks like 5 is starting,Andy Pollak,12/14/2017 0:00,5,15,2,,Joe Loboy,12/7/2017 0:00,,,,,,5
29,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,122,,3,1,TopShell,0.15,13,,0,0,G,A,,,MDS,21,9,MDS,,2016D02004,6,10,20,3,9 10 is on lower right ear,Andy Pollak,12/14/2017 0:00,10,20,2,,Joe Loboy,12/7/2017 0:00,,,,,,10
30,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,112,,3,1,TopShell,0.12,12,,0,0,G,A,,,MDS,31,6,MDS,,2016D02004,7,7,11,2,6 if 1st is >11,Andy Pollak,12/14/2017 0:00,7,28,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
31,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,111,,3,1,TopShell,0.11,11,,0,0,G,A,,,MDS,33,5,MDS,,2016D02004,8,7,13,2,,Andy Pollak,12/14/2017 0:00,7,12,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
32,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,111,,3,1,TopShell,0.13,12,10,0,Q,G,A,,,MDS,36,5,MDS,,2016D02004,9,7,14,2,,Andy Pollak,12/14/2017 0:00,7,14,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
33,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,101,,3,1,TopShell,0.09,8,,0,0,G,A,,,MDS,31,3,MDS,,2016D02004,10,5,16,2,,Andy Pollak,12/14/2017 0:00,5,16,2,,Joe Loboy,12/7/2017 0:00,,,,,,5
34,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,46,,0,1,TopShell,,,,0,0,G,A,,,MDS,31,1,MDS,,2016D02004,11,2,17,2,,Andy Pollak,12/14/2017 0:00,2,15,2,,Joe Loboy,12/7/2017 0:00,,,,,,2
35,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,53,,0,1,TopShell,,,,0,0,G,A,,,MDS,35,1,MDS,,2016D02004,12,2,20,2,,Andy Pollak,12/14/2017 0:00,2,15,2,,Joe Loboy,12/7/2017 0:00,,,,,,2
36,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,58,,0,1,TopShell,,,,0,0,G,A,,,MDS,38,2,MDS,,2016D02004,13,2,20,2,looks like 3,Andy Pollak,12/14/2017 0:00,2,15,2,,Joe Loboy,12/7/2017 0:00,,,,,,2
37,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,57,,0,1,TopShell,,,,0,0,G,A,,,MDS,23,2,MDS,,2016D02004,14,2,23,2,,Andy Pollak,12/14/2017 0:00,2,17,2,,Joe Loboy,12/7/2017 0:00,,,,,,2
38,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,53,,0,1,TopShell,,,,0,0,G,A,,,MDS,25,2,MDS,,2016D02004,15,2,23,2,,Andy Pollak,12/14/2017 0:00,2,22,2,,Joe Loboy,12/7/2017 0:00,,,,,,2
39,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,64,,0,1,TopShell,,,,0,0,G,A,,,MDS,28,2,MDS,,2016D02004,16,3,27,2,maybe 2,Andy Pollak,12/14/2017 0:00,2,18,2,,Joe Loboy,12/7/2017 0:00,,,,,,3
40,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,2,98,,3,1,TopShell,,,,0,0,G,A,,,MDS,32,3,MDS,,2016D02004,17,5,19,2,4,Andy Pollak,12/14/2017 0:00,5,17,2,,Joe Loboy,12/7/2017 0:00,,,,,,5
41,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,2,1,2,92,,3,1,TopShell,,,,0,0,G,A,,,MDS,34,3,MDS,,2016D02004,18,5,13,2,,Andy Pollak,12/14/2017 0:00,5,12,2,,Joe Loboy,12/7/2017 0:00,,,,,,5
42,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,1,1,2,86,,3,1,TopShell,,,,0,0,G,A,,,MDS,33,3,MDS,,2016D02004,19,5,14,2,,Andy Pollak,12/14/2017 0:00,5,14,2,,Joe Loboy,12/7/2017 0:00,,,,,,5
43,2016,D02,Kayak Scallop Dredge,West,H 35,Standard,4/17/2016 0:00,Solstice,850,2,1,2,76,,3,1,TopShell,,,,0,0,G,A,,,MDS,26,2,MDS,,2016D02004,20,4,10,2,3,Andy Pollak,12/14/2017 0:00,4,10,2,,Joe Loboy,12/7/2017 0:00,,,,,,4
44,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,137,,3,1,TopShell,0.23,19,17,0,Q,G,A,,,MDS,26,11,MDS,,2016D02005,1,10,22,3,ugly,Andy Pollak,12/14/2017 0:00,12,20,3,"13?, 11?",Joe Loboy,12/7/2017 0:00,,,,,,10
45,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,118,,3,1,TopShell,0.15,13,14,0,0,G,A,,,MDS,30,6,MDS,,2016D02005,2,8,19,1,,Andy Pollak,12/14/2017 0:00,8,19,2,,Joe Loboy,12/7/2017 0:00,,,,,,8
46,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,126,,3,1,TopShell,0.17,16,9,0,0,G,A,,,MDS,29,7,MDS,,2016D02005,3,7,18,2,,Andy Pollak,12/14/2017 0:00,7,17,2,,Joe Loboy,12/7/2017 0:00,,,,,,7
47,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,115,,3,1,TopShell,0.13,10,14,0,0,G,A,,,MDS,28,7,MDS,,2016D02005,4,9,20,2,8 if 5-6 is a doublet,Andy Pollak,12/14/2017 0:00,8,18,2,,Joe Loboy,12/7/2017 0:00,,,,,,9
48,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,113,,3,1,TopShell,0.11,9,11,0,0,G,A,,,MDS,35,6,MDS,,2016D02005,5,8,12,2,7,Andy Pollak,12/14/2017 0:00,8,13,2,,Joe Loboy,12/7/2017 0:00,,,,,,8
49,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,124,,3,1,TopShell,0.16,14,13,0,0,G,A,,,MDS,27,9,MDS,,2016D02005,6,10,26,2,,Andy Pollak,12/14/2017 0:00,10,26,3,,Joe Loboy,12/7/2017 0:00,,,,,,10
50,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,116,,3,1,TopShell,0.14,14,15,0,0,G,D,,,MDS,37,6,MDS,,2016D02005,7,7,15,2,,Andy Pollak,12/14/2017 0:00,8,18,2,,Joe Loboy,12/8/2017 0:00,,,,,,7
51,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,118,,3,1,TopShell,0.16,12,24,0,0,G,A,,,MDS,32,5,MDS,,2016D02005,8,8,18,2,7,Andy Pollak,12/14/2017 0:00,7,15,3,crack 3/4,Joe Loboy,12/8/2017 0:00,,,,,,8
52,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,115,,3,1,TopShell,0.15,11,9,0,0,G,A,,,MDS,38,6,MDS,,2016D02005,9,9,13,2,8,Andy Pollak,12/14/2017 0:00,8,12,3,crack 4/5,Joe Loboy,12/8/2017 0:00,,,,,,9
53,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,114,,3,1,TopShell,0.12,11,10,0,Q,G,A,,,MDS,22,6,MDS,,2016D02005,10,7,15,3,8,Andy Pollak,12/14/2017 0:00,7,17,2,,Joe Loboy,12/8/2017 0:00,,,,,,7
54,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,61,,0,1,TopShell,,,,0,0,G,A,,,MDS,26,2,MDS,,2016D02005,11,2,25,2,3,Andy Pollak,12/14/2017 0:00,2,26,2,,Joe Loboy,12/8/2017 0:00,,,,,,2
55,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,63,,0,1,TopShell,,,,0,0,G,A,,,MDS,27,2,MDS,,2016D02005,12,3,25,2,2,Andy Pollak,12/14/2017 0:00,2,24,2,,Joe Loboy,12/8/2017 0:00,,,,,,3
56,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,43,,0,1,TopShell,,,,0,0,G,A,,,MDS,21,1,MDS,,2016D02005,13,1,37,2,want it to be 2,Andy Pollak,12/14/2017 0:00,1,38,2,,Joe Loboy,12/8/2017 0:00,,,,,,1
57,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,,,0,1,TopShell,,,,0,0,G,D,,,MDS,34,1,MDS,,2016D02005,14,2,21,2,,Andy Pollak,12/14/2017 0:00,,,6,NOT AGEABLE,Joe Loboy,12/8/2017 0:00,,1,,,,
58,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,39,,0,1,TopShell,,,,0,0,G,A,,,MDS,33,1,MDS,,2016D02005,15,1,33,2,,Andy Pollak,12/14/2017 0:00,1,35,2,,Joe Loboy,12/8/2017 0:00,,,,,,1
59,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,43,,0,1,TopShell,,,,0,0,G,A,,,MDS,30,1,MDS,,2016D02005,16,1,39,2,,Andy Pollak,12/14/2017 0:00,1,40,2,,Joe Loboy,12/8/2017 0:00,,,,,,1
60,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,38,,0,1,TopShell,,,,0,0,G,A,,,MDS,32,1,MDS,,2016D02005,17,1,34,2,2,Andy Pollak,12/14/2017 0:00,1,34,2,,Joe Loboy,12/8/2017 0:00,,,,,,1
61,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,37,,0,1,TopShell,,,,0,0,G,A,,,MDS,24,1,MDS,,2016D02005,18,1,34,2,,Andy Pollak,12/14/2017 0:00,1,33,2,broken,Joe Loboy,12/8/2017 0:00,,,,,,1
62,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,32,,0,1,TopShell,,,,0,0,G,A,,,MDS,27,1,MDS,,2016D02005,19,1,28,2,,Andy Pollak,12/14/2017 0:00,1,28,2,,Joe Loboy,12/8/2017 0:00,,,,,,1
63,2016,D02,Kayak Scallop Dredge,West,I 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,35,,0,1,TopShell,,,,0,0,G,A,,,MDS,31,1,MDS,,2016D02005,20,1,31,2,,Andy Pollak,12/14/2017 0:00,1,31,2,,Joe Loboy,12/8/2017 0:00,,,,,,1
64,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,135,,3,1,TopShell,0.21,16,20,0,0,G,D,,,MDS,32,11,MDS,,2016D02006,1,9,28,2,,Andy Pollak,12/15/2017 0:00,13,31,3,right,Joe Loboy,12/8/2017 0:00,,1,,,,9
65,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,134,,3,1,TopShell,0.19,14,10,0,Q,G,A,,,MDS,29,11,MDS,,2016D02006,2,11,28,2,12,Andy Pollak,12/15/2017 0:00,13,29,3,,Joe Loboy,12/8/2017 0:00,,,,,,11
66,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,117,,3,1,TopShell,0.15,9,14,0,0,G,A,,,MDS,35,7,MDS,,2016D02006,3,8,14,2,9,Andy Pollak,12/15/2017 0:00,9,14,2,,Joe Loboy,12/8/2017 0:00,,,,,,8
67,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,119,,3,1,TopShell,0.16,14,14,0,Q,G,A,,,MDS,23,8,MDS,,2016D02006,4,9,22,3,ugly,Andy Pollak,12/15/2017 0:00,9,22,2,,Joe Loboy,12/8/2017 0:00,,,,,,9
68,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,144,,3,1,TopShell,0.25,20,20,0,0,G,A,,,MDS,29,11,MDS,,2016D02006,5,10,24,3,,Andy Pollak,12/15/2017 0:00,11,23,4,,Joe Loboy,12/8/2017 0:00,,,,,,10
69,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,128,,3,1,TopShell,0.17,15,17,0,0,G,A,,,MDS,23,8,MDS,,2016D02006,6,,,9,missing,Andy Pollak,12/15/2017 0:00,,,6,? Missing ?,Joe Loboy,12/8/2017 0:00,,1,,,,
70,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,141,,3,1,TopShell,0.26,18,22,0,Q,G,A,,,MDS,24,10,MDS,,2016D02006,7,10,24,2,9,Andy Pollak,12/15/2017 0:00,9,23,3,,Joe Loboy,12/8/2017 0:00,,,,,,10
71,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,133,,3,1,TopShell,0.2,18,15,0,0,G,A,,,MDS,24,11,MDS,,2016D02006,8,10,21,3,9.  ugly.  doublets?,Andy Pollak,12/15/2017 0:00,11,24,3,,Joe Loboy,12/8/2017 0:00,,,,,,10
72,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,,,3,1,TopShell,0.14,15,,0,Q,G,D,,,MDS,30,10,MDS,,2016D02006,9,9,31,5,almost not readable(ANR),Andy Pollak,12/15/2017 0:00,,,6,NOT AGEABLE,Joe Loboy,12/8/2017 0:00,,,,,,9
73,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,127,,3,1,TopShell,0.22,21,24,0,Q,G,A,,,MDS,21,10,MDS,,2016D02006,10,9,19,2,,Andy Pollak,12/15/2017 0:00,10,19,3,,Joe Loboy,12/8/2017 0:00,,,,,,9
74,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,34,,0,1,TopShell,,,,0,0,G,A,,,MDS,31,1,MDS,,2016D02006,11,1,28,2,,Andy Pollak,12/15/2017 0:00,1,32,2,,Joe Loboy,12/8/2017 0:00,,,,,,1
75,2016,D02,Kayak Scallop Dredge,West,J 35,Standard,4/17/2016 0:00,Solstice,850,9,1,2,38,,0,1,TopShell,,,,0,0,G,A,,,MDS,35,1,MDS,,2016D02006,12,2,21,2,1,Andy Pollak,12/15/2017 0:00,1,34,2,,Joe Loboy,12/8/2017 0:00,,,,,,2
76,2016,D02,Kayak Scallop Dredge,West,K 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,136,,3,1,TopShell,0.21,19,17,0,0,G,A,,,MDS,33,12,MDS,,2016D02007,1,13,32,3,top,Andy Pollak,12/15/2017 0:00,13,33,3,,Joe Loboy,12/8/2017 0:00,,,,,,13
77,2016,D02,Kayak Scallop Dredge,West,K 35,Standard,4/17/2016 0:00,Solstice,850,2,1,1,136,,3,1,TopShell,0.25,20,24,0,Q,G,A,,,MDS,27,11,MDS,,2016D02007,2,10,27,3,,Andy Pollak,12/15/2017 0:00,11,30,4,,Joe Loboy,12/8/2017 0:00,,,,,,10
78,2016,D02,Kayak Scallop Dredge,West,K 35,Standard,4/17/2016 0:00,Solstice,850,1,1,1,121,,3,1,TopShell,0.13,15,20,0,0,G,A,,,MDS,31,7,MDS,,2016D02007,3,8,17,3,9,Andy Pollak,12/15/2017 0:00,9,17,3,,Joe Loboy,12/8/2017 0:00,,,,,,8
