Season,District,District_code,discard_est,discard_lwr95,discard_upp95,meat_rate,tanner_est,tanner_lwr95,tanner_upp95,dungeness_est,dungeness_lwr95,dungeness_upp95,halibut_est,halibut_lwr95,halibut_upp95
2012/13,Yakutat District 16,YAK,61066.39396,45856.89822,73780.04699,0.083,1620.332669,794.7766652,2437.159264,0,0,0,12.63596596,1,27.663
2012/13,Kodiak Northeast District,KNE,99354.45472,82412.57304,118939.7442,0.105,48935.34674,31973.28386,66424.08454,0,0,0,283.0855928,149.2966933,500.8680997
2012/13,Kodiak Shelikof District,KSH,126331.3496,107907.4515,145977.1242,0.102,19436.43377,13551.30536,27957.47897,8.329120608,2,15.49290785,269.3853385,113.2863535,441.7491282
2012/13,Kodiak Southwest District,KSW,15299.32345,12646.76887,18273.31778,0.102,8198.388,6542.156565,9778.438625,11.418,1,35.01495,168.8063828,76.83868602,267.3770114
2012/13,AK Pen Unimak Bight District,UB,29380.17352,17622.19325,44711.1361,0.092,8218.476182,5618.446386,11294.10232,0,0,0,59.6542006,29.18633531,176.2469915
2012/13,Dutch Harbor,O,2719.321818,2442.888,3031.424516,0.108,746.9381818,596.3458065,880.32,0,0,0,11.67090909,1,24.84774194
2012/13,Bering Sea,Q,39222.50302,31010.69757,39321.72634,0.091,30203.60056,29406.29454,76185.58095,0,0,0,3.666666667,1,63.461
2011/12,Yakutat Area D,YAK,583399.0679,505016.2177,638075.2513,0.088,11557.78718,7394.541992,13992.90225,149.6224297,28.62032843,277.5720502,550.5865304,247.0773523,853.7967036
2011/12,Yakutat District 16,YAK,3075.640505,2257.7,3823.247863,0.083,53.24921136,36.06837607,63.3,0,0,0,0,0,0
2011/12,Prince William Sound,WKI,11468.97225,10251.61301,12245.72405,0.105,0,,0,0,0,0,0,0,0
2011/12,Kodiak Northeast District,KNE,95885.20131,70155.34551,134528.2591,0.102,29184.80726,18464.14328,39445.35592,0,0,0,397.4091878,212.0431635,590.4128655
2011/12,Kodiak Shelikof District,KSH,128447.5829,104436.7555,152502.5587,0.102,27684.4148,18314.18609,39978.43253,16.52544191,3,40.53829824,295.439885,127.8544949,452.9194995
2011/12,Kodiak Southwest District,KSW,17841.9421,12808.60399,20861.21651,0.102,8894.040204,5997.629189,13601.06574,0,0,0,55.59568934,10.10585512,89.5803554
2011/12,Dutch Harbor,O,2567.228296,726.4327947,4058.778985,0.108,617.1221865,114.8558559,812.1125538,0,0,0,16.45659164,4.381381381,33.51734684
2011/12,Bering Sea,Q,30836.96378,28230.90087,33839.64211,0.091,22363.28103,17834.98092,28985.37109,0,0,0,20.55560621,1,74.82437333
2010/11,Yakutat Area D,YAK,578493.9672,495097.4718,642635.9963,0.088,14707.12179,10183.3993,20670.18125,23.50185506,2,54.491625,134.5546403,32.29595234,210.5996885
2010/11,Yakutat District 16,YAK,28032.91028,15538.13383,40914.53691,0.083,91.69254032,62.75219468,119.0382418,0,0,0,16.67137097,5.905714286,25.47038306
2010/11,Prince William Sound,WKI,9378.318631,7464.13498,12323.62384,0.105,27.71428571,4,117.3636364,0,0,0,0,0,0
2010/11,Kodiak Northeast District,KNE,85890.12438,71844.704,108673.1947,0.102,20807.73146,16366.72465,26680.08854,0,0,0,749.0399454,476.4282503,1128.37501
2010/11,Kodiak Shelikof District,KSH,423118.244,366911.912,480482.2972,0.102,19126.15488,14941.9583,23534.64577,805.1282524,86.86335054,1690.124561,450.3400816,251.2890252,656.8916582
2010/11,Dutch Harbor,O,3237.118063,1971.804372,5183.925203,0.108,901.0534813,362.7645022,1566.311688,0,0,0,50.05852674,33.34184416,62.65987013
2010/11,Bering Sea,Q,73177.84474,61872.78685,80857.29335,0.091,60537.29534,45605.55477,77790.10659,0,0,0,10.46228102,1,25.625
2009/10,Yakutat Area D,YAK,622055.0206,528056.7904,695297.0322,0.088,11609.0022,6474.994055,18146.77711,74.20239187,11.24353846,155.0218565,530.3452084,278.5180221,784.0877335
2009/10,Yakutat District 16,YAK,104634.3517,81298.73121,130549.1713,0.083,1009.016874,548.920582,1679.825348,23.27178295,2,47.09773256,123.408527,59.06261584,201.2028333
2009/10,Prince William Sound,WKI,59009.78499,36167.25558,81196.84049,0.105,315.5231206,93.38312675,547.9154284,0,0,0,33.84506212,6.053333333,68.56852924
2009/10,Kodiak Northeast District,KNE,121020.8131,112277.4288,141807.2346,0.102,38410.63805,33890.15701,64710.6314,0,0,0,222.9612131,138.0729491,357.1971494
2009/10,Kodiak Shelikof District,KSH,349951.6687,310878.8191,392059.1423,0.102,18588.78647,15483.44312,22337.06669,88.30893326,26.84262569,153.0651984,252.4659229,127.6805491,424.7463699
2009/10,Dutch Harbor,O,2082.141089,188.5795476,3312.603061,0.108,25.70544554,1.142857143,41.73342857,0,0,0,0,0,0
2009/10,Bering Sea,Q,57983.55825,47692.75921,62846.37209,0.091,27429.75991,25330.37689,35376.98441,0,0,0,0,0,0
