Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
KS18,KNE,68560,1,62,1
KS18,KNE,68560,1,64,4.3
KS18,KNE,68560,1,65,4.3
KS18,KNE,68560,1,65,15.5
KS18,KNE,68560,1,70,4.3
KS18,KNE,68560,1,72,15.5
KS18,KNE,68560,1,74,1
KS18,KNE,68560,1,74,1
KS18,KNE,68560,1,75,1
KS18,KNE,68560,1,75,1.4
KS18,KNE,68560,1,75,4.3
KS18,KNE,68560,1,76,1
KS18,KNE,68560,1,78,25.2
KS18,KNE,68560,1,81,15.5
KS18,KNE,68560,1,82,1
KS18,KNE,68560,1,83,1
KS18,KNE,68560,1,83,15.5
KS18,KNE,68560,1,85,1
KS18,KNE,68560,1,85,1.4
KS18,KNE,68560,1,86,1
KS18,KNE,68560,1,89,1
KS18,KNE,68560,1,90,1
KS18,KNE,68560,1,90,1
KS18,KNE,68560,1,106,1
KS18,KNE,68560,1,128,1
KS18,KNE,68560,1,136,1
KS18,KNE,68560,2,20,1
KS18,KNE,68560,2,22,1
KS18,KNE,68560,2,23,1
KS18,KNE,68560,2,24,1
KS18,KNE,68560,2,28,1
KS18,KNE,68560,2,29,7.2
KS18,KNE,68560,2,29,1
KS18,KNE,68560,2,30,1
KS18,KNE,68560,2,31,1
KS18,KNE,68560,2,32,1
KS18,KNE,68560,2,32,7.2
KS18,KNE,68560,2,33,1.4
KS18,KNE,68560,2,33,1
KS18,KNE,68560,2,33,1
KS18,KNE,68560,2,33,1
KS18,KNE,68560,2,35,1
KS18,KNE,68560,2,35,7.2
KS18,KNE,68560,2,35,1
KS18,KNE,68560,2,36,1
KS18,KNE,68560,2,37,7.2
KS18,KNE,68560,2,38,1
KS18,KNE,68560,2,38,1
KS18,KNE,68560,2,40,1
KS18,KNE,68560,2,41,1
KS18,KNE,68560,2,41,1
KS18,KNE,68560,2,42,1
KS18,KNE,68560,2,43,1
KS18,KNE,68560,2,43,1
KS18,KNE,68560,2,44,1
KS18,KNE,68560,2,46,7.2
KS18,KNE,68560,2,46,7.2
KS18,KNE,68560,2,50,25.2
KS18,KNE,68560,2,50,25.2
KS18,KNE,68560,2,51,1
KS18,KNE,68560,2,52,1
KS18,KNE,68560,2,53,1
KS18,KNE,68560,2,54,1
KS18,KNE,68560,2,54,1
KS18,KNE,68560,2,55,1.4
KS18,KNE,68560,2,56,25.2
KS18,KNE,68560,2,58,1.4
KS18,KNE,68560,2,58,1.4
KS18,KNE,68560,2,60,1
KS18,KNE,68560,2,60,15.5
KS18,KNE,68560,2,62,4.3
KS18,KNE,68560,2,63,1
KS18,KNE,68560,2,64,1
KS18,KNE,68560,2,65,15.5
KS18,KNE,68560,2,66,1
KS18,KNE,68560,2,67,1
KS18,KNE,68560,2,68,1
KS18,KNE,68560,2,70,25.2
KS18,KNE,68560,2,70,1
KS18,KNE,68560,2,73,15.5
KS18,KNE,68560,2,76,15.5
KS18,KNE,68560,2,76,15.5
KS18,KNE,68560,2,76,1
KS18,KNE,68560,2,78,1
KS18,KNE,68560,2,80,1
KS18,KNE,68560,2,80,4.3
KS18,KNE,68560,2,80,4.3
KS18,KNE,68560,2,80,1
KS18,KNE,68560,2,81,4.3
KS18,KNE,68560,2,81,4.3
KS18,KNE,68560,2,82,15.5
KS18,KNE,68560,2,83,1
KS18,KSE,68560,1,49,1
KS18,KSE,68560,1,53,1
KS18,KSE,68560,1,55,2
KS18,KSE,68560,1,56,1
KS18,KSE,68560,1,58,1
KS18,KSE,68560,1,64,2
KS18,KSE,68560,1,68,2
KS18,KSE,68560,1,73,4.9
KS18,KSE,68560,1,75,4.9
KS18,KSE,68560,1,78,2
KS18,KSE,68560,1,79,4.9
KS18,KSE,68560,1,80,2
KS18,KSE,68560,1,80,2.1
KS18,KSE,68560,1,83,4.9
KS18,KSE,68560,1,86,4.9
KS18,KSE,68560,1,90,4.9
KS18,KSE,68560,1,97,2.7
KS18,KSE,68560,1,97,2
KS18,KSE,68560,1,100,2
KS18,KSE,68560,1,100,5.2
KS18,KSE,68560,1,103,17.2
KS18,KSE,68560,1,104,4.9
KS18,KSE,68560,1,105,17.2
KS18,KSE,68560,1,105,2.1
KS18,KSE,68560,1,108,5.2
KS18,KSE,68560,1,109,2
KS18,KSE,68560,1,109,2.1
KS18,KSE,68560,1,110,2.7
KS18,KSE,68560,1,110,5.2
KS18,KSE,68560,1,111,5.2
KS18,KSE,68560,1,111,17.2
KS18,KSE,68560,1,112,2.1
KS18,KSE,68560,1,113,2.1
KS18,KSE,68560,1,119,2.1
KS18,KSE,68560,1,120,5.2
KS18,KSE,68560,1,130,2.7
KS18,KSE,68560,2,12,1
KS18,KSE,68560,2,15,1
KS18,KSE,68560,2,23,1
KS18,KSE,68560,2,64,2
KS18,KSE,68560,2,65,4.9
KS18,KSE,68560,2,68,2
KS18,KSE,68560,2,73,2.1
KS18,KSE,68560,2,74,17.2
KS18,KSE,68560,2,74,17.2
KS18,KSE,68560,2,76,17.2
KS18,KSE,68560,2,77,1
KS18,KSE,68560,2,77,2.1
KS18,KSE,68560,2,80,2.7
KS18,KSE,68560,2,81,2.7
KS18,KSE,68560,2,81,17.2
KS18,KSE,68560,2,82,5.2
KS18,KSE,68560,2,83,4.9
KS18,KSE,68560,2,84,17.2
KS18,KSE,68560,2,84,5.2
KS18,KSE,68560,2,85,5.2
KS18,KSE,68560,2,85,2.7
KS18,KSE,68560,2,85,17.2
KS18,KSE,68560,2,86,5.2
KS18,KSE,68560,2,88,2.7
KS18,KSE,68560,2,88,2.7
KS18,KSE,68560,2,88,2.1
KS18,KSE,68560,2,89,5.2
KS18,KSE,68560,2,89,17.2
KS18,KSE,68560,2,90,2.1
KS18,KSE,68560,2,90,2.7
KS18,KSE,68560,2,92,2.7
KS18,KSE,68560,2,103,4.9
KS18,KSH,68560,1,19,1
KS18,KSH,68560,1,21,1
KS18,KSH,68560,1,25,1
