tow,event_id,cruise,haul,stn_id,date_set,time_start,lat_start_dd,lon_start_dd,depth_start,heading,time_end,duration,distance,lat_end_dd,lon_end_dd,depth_end,scope,weather,surface_temp,depth_max,depth_min,dredge_id,haul_type,perform,gear_code,sensor,speed_avg,depth_avg,notes
DM actual=9.6/20.7/14.1/12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=87/84/87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020011,,1902,11,HD11,9/14/2019,9:26:00,59.2748,-153.1248,30.3,358,9:41:00,15,1,59.2913,-153.1227,29.5,90,72,,,,,10,1,1,1,4,,DM target=12
DM actual=10.2/11.6/12.6/8.9/12.7/11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=93/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020012,,1902,12,HD10,9/14/2019,10:21:00,59.292,-153.1243,29.6,353,10:36:00,15,1,59.3087,-153.1238,28.4,88,72,,,,,10,1,1,1,4,,DM target=12
DM actual=8.8/9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=90/87/86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020013,,1902,13,HC09,9/14/2019,11:18:00,59.3078,-153.1557,27.6,344,11:32:00,14,1,59.3243,-153.1598,26.6,84,72,,,,,10,1,1,1,4.2,,DM target=12
DM actual=10.1/10.7/11.2/8.0/9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=87/84/83/82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speed=4.1/4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020014,,1902,14,HB08,9/14/2019,12:09:00,59.3255,-153.1848,26.9,329,12:24:00,15,1,59.3408,-153.1978,27.4,76,72,,,,,10,1,1,1,4,,DM target=12
DM actual=7.5/8.6/9.9/12.9/8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=78/75/74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020015,,1902,15,HA07,9/14/2019,12:57:00,59.3575,-153.2103,23.7,154,13:13:00,16,1,59.3412,-153.22,25.9,72,61,,,,,10,1,1,1,4,,DM target=12
DM actual=16.1/15.1/14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=71/72/74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speed=3.9/4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020016,,1902,16,HA04,9/14/2019,13:51:00,59.4087,-153.2263,22.7,159,14:06:00,15,1,59.3922,-153.2215,24.8,69,72,,,,,10,1,1,1,4,,DM target=12
DM actual=11.7/14.4/16.1/12.9/14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=68/69/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020017,,1902,17,HB05,9/14/2019,14:23:00,59.3923,-153.2005,25.2,148,14:38:00,15,1,59.3775,-153.1853,26.1,78,72,,,,,10,1,1,1,4,,DM target=12
DM actual=14.6/10.7/13.1/10.8/10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=75/77/79/80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020018,,1902,18,HC06,9/14/2019,15:01:00,59.375,-153.1668,25.1,143,15:16:00,15,1,59.3605,-153.1505,26.8,78,62,,,,,10,1,1,1,4,,DM target=12
DM actual=12.1/16.17/11.6/12.8/11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=75/78/80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020019,,1902,19,HD07,9/14/2019,15:43:00,59.3565,-153.1313,27.4,145,15:58:00,15,1,59.342,-153.1155,28.5,80,52,,,,,10,1,1,1,4,,DM target=12
DM actual=7.1/10.5/11.6/8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=81/79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020020,,1902,20,HE08,9/14/2019,16:33:00,59.3407,-153.0998,28.9,143,16:48:00,15,1,59.3262,-153.0835,30.1,85,41,,,,,10,1,1,1,4,,DM target=12
DM actual=8.1/5.8/7.8/11.3/8.9/11.9/12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=87/85/82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020021,,1902,21,HG10,9/14/2019,17:21:00,59.2915,-153.028,28.4,14,17:28:00,7,0.52,59.3,-153.0242,27.6,84,52,,,,,10,1,1,1,4.1,,DM target=12
DM actual= Not working,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Speed=4.0/4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I thought Dredge was upside down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020022,,1902,22,HF09,9/14/2019,17:56:00,59.309,-153.0535,31.8,332,18:11:00,15,1,59.325,-153.0637,30.2,88,52,,,,,10,1,1,1,4,,DM target=12
DM actual=5.3/11.3/8.5/11.7/12.6/11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=92/86/89/84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020023,,1902,23,HC01,10/12/2019,12:36:00,59.4567,-153.1515,21.1,192,12:51:00,15,1,59.4438,-153.1723,21.7,63,41,9.5,,,,10,1,1,1,4,,DM target=12
DM actual=not working at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020024,,1902,24,HB02,10/12/2019,13:29:00,59.4425,-153.2037,21,135,13:44:00,15,1,59.4282,-153.1873,22.3,61,31,9.5,,,,10,1,1,1,4,,DM target=12
DM actual=8.3/14.4/15.1/10.5/11.1/13.2/13.5/12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=63/61/59/60/61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020025,,1902,25,HC03,10/12/2019,14:07:00,59.4243,-153.1695,23.1,137,14:22:00,15,1,59.411,-153.1503,24.1,68,41,9.4,,,,10,1,1,1,4,,DM target=12
DM actual=7.5/13.2/11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=69/66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020026,,1902,26,HD04,10/12/2019,14:52:00,59.4087,-153.1292,24.2,160,15:07:00,15,1,59.3927,-153.12,25.6,72,31,9.5,,,,10,1,1,1,4,,DM target=12
DM actual=11.2/13.8/12.9/12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020027,,1902,27,HE05,10/12/2019,15:32:00,59.3908,-153.0997,26.1,149,15:47:00,15,1,59.3757,-153.086,27.2,77,31,9.4,,,,10,1,1,1,4,,DM target=12
DM actual=6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable out=78/76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020028,,1902,28,HF06,10/12/2019,16:13:00,59.3732,-153.0673,27.8,137,16:28:00,15,1,59.36,-153.0477,29.3,80,31,9.4,,,,10,1,1,1,4,,DM target=12
DM actual=5.5/10.0/7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=83/80/78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19020029,,1902,29,HG07,10/12/2019,16:56:00,59.3577,-153.0347,29.7,143,17:11:00,15,1,59.344,-153.0163,31.1,86,21,9.3,,,,10,1,1,1,4,,DM Target=12
DM actual=3.0/7.1/3.5/6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Cable Out=90/86/83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
