Season,District,Fishery,n_vessels,mt_wt,rnd_wt,dredge_hrs,mt_cpue,rnd_cpue
1996/97,M,,2,12560,,327,38.40978593,
1997/98,M,,4,51616,,1752,29.46118721,
1998/99,M,,4,63290,,1612,39.2617866,
1999/00,M,,5,75535,,2025,37.30123457,
2000/01,M,,3,7660,,320,23.9375,
2001/02,M,,,,,,,
2002/03,M,,,,,,,
2003/04,M,,,,,,,
2004/05,M,,,,,,,
2005/06,M,,,0,,,,
2006/07,M,,2,155,,64,2.421875,
2007/08,M,,,0,,,,
2008/09,M,,1,2460,,151,16.29139073,
1993/94,Q,,,284414,,5764.47,49.33916985,
1994/95,Q,,,505439,,11112.88,45.48225559,
1996/97,Q,,1,150295,,2312.87,64.98212895,
1997/98,Q,,2,97002,,2246,43.18878005,
1998/99,Q,,4,96795,,2319.17,41.73697448,
1999/00,Q,,2,164929,,3294.43,50.06293445,
2000/01,Q,,3,205520,,3354.63,61.26451973,
2001/02,Q,,3,140871,,3071.83,45.85893332,
2002/03,Q,,2,92240,,2038.22,45.25524764,
2003/04,Q,,2,42590,,1019.83,41.76172579,
2004/05,Q,,1,10050,,274.67,36.58980583,
2005/06,Q,,1,23220,,602,38.57142857,
2006/07,Q,,1,48246,,1137.92,42.39853533,
2007/08,Q,,2,49995,,1084,46.12084871,
2008/09,Q,,1,49995,,962,51.96985447,
1993/94,O,,,,,,,
1994/95,O,,,,,,,
1996/97,O,,,,,,,
1997/98,O,,1,,,,,
1998/99,O,,4,,,,,
1999/00,O,,1,,,,,
2000/01,O,,,,,,,
2001/02,O,,,,,,,
2002/03,O,,1,6000,,184,32.60869565,
2003/04,O,,,,,,,
2004/05,O,,,,,,,
2005/06,O,,,,,,,
2006/07,O,,,,,,,
2007/08,O,,,,,,,
2008/09,O,,1,10040,,225,44.62222222,
