Season,Fishery,District,ghl,tanner_cbl,snow_cbl,king_cbl
2000/01,QS00,Q,200000,NA,NA,NA
2000/01,RS00,R,75000,NA,NA,NA
2001/02,DS01,YAK,235000,NA,NA,NA
2001/02,ES01,EKI,9000,NA,NA,NA
2001/02,ES01,WKI,21000,NA,NA,NA
2001/02,HS01,KAM,20000,NA,NA,NA
2001/02,KS01,KNE,80000,NA,NA,NA
2001/02,KS01,KSH,180000,NA,NA,NA
2001/02,QS01,Q,200000,NA,NA,NA
2001/02,RS01,R,75000,NA,NA,NA
2002/03,DS02,YAK,235000,NA,NA,NA
2002/03,ES02,EKI,6000,NA,NA,NA
2002/03,ES02,WKI,14000,NA,NA,NA
2002/03,HS02,KAM,20000,NA,NA,NA
2002/03,KS02,KNE,80000,NA,NA,NA
2002/03,KS02,KSH,180000,NA,NA,NA
2002/03,OS02,O,10000,NA,NA,NA
2002/03,QS02,Q,105000,NA,NA,NA
2002/03,RS02,R,75000,NA,NA,NA
2003/04,DS03,YAK,235000,NA,NA,NA
2003/04,ES03,EKI,6000,NA,NA,NA
2003/04,ES03,WKI,14000,NA,NA,NA
2003/04,HS03,KAM,20000,NA,NA,NA
2003/04,KS03,KNE,80000,NA,NA,NA
2003/04,KS03,KSH,180000,NA,NA,NA
2003/04,QS03,Q,105000,NA,NA,NA
2003/04,RS03,R,75000,NA,NA,NA
2004/05,DS04,YAK,235000,NA,NA,NA
2004/05,ES04,EKI,26000,NA,NA,NA
2004/05,ES04,WKI,24000,NA,NA,NA
2004/05,HS04,KAM,20000,NA,NA,NA
2004/05,KS04,KNE,80000,NA,NA,NA
2004/05,KS04,KSH,180000,NA,NA,NA
2004/05,QS04,Q,105000,NA,NA,NA
2004/05,RS04,R,75000,NA,NA,NA
2005/06,DS05,YAK,235000,NA,NA,NA
2005/06,ES05,EKI,26000,NA,NA,NA
2005/06,ES05,WKI,24000,NA,NA,NA
2005/06,HS05,KAM,7000,NA,NA,NA
2005/06,KS05,KNE,80000,NA,NA,NA
2005/06,KS05,KSH,160000,NA,NA,NA
2005/06,MS05,M,20000,NA,NA,NA
2005/06,QS05,Q,50000,NA,NA,NA
2005/06,RS05,R,75000,NA,NA,NA
2006/07,DS06,YAK,171000,NA,NA,NA
2006/07,ES06,EKI,20000,NA,NA,NA
2006/07,ES06,WKI,17000,NA,NA,NA
2006/07,HS06,KAM,7000,NA,NA,NA
2006/07,KS06,KNE,90000,NA,NA,NA
2006/07,KS06,KSH,160000,NA,NA,NA
2006/07,MS06,M,25000,NA,NA,NA
2006/07,QS06,Q,50000,NA,NA,NA
2006/07,RS06,R,75000,NA,NA,NA
2007/08,DS07,YAK,171000,NA,NA,NA
2007/08,ES07,EKI,20000,NA,NA,NA
2007/08,ES07,WKI,17000,NA,NA,NA
2007/08,HS07,KAM,12000,NA,NA,NA
2007/08,KS07,KNE,90000,NA,NA,NA
2007/08,KS07,KSH,170000,NA,NA,NA
2007/08,MS07,M,10000,NA,NA,NA
2007/08,QS07,Q,50000,NA,NA,NA
2007/08,RS07,R,75000,NA,NA,NA
2008/09,DS08,YAK,171000,NA,NA,NA
2008/09,ES08,EKI,15000,NA,NA,NA
2008/09,ES08,WKI,5000,NA,NA,NA
2008/09,HS08,KAM,12000,NA,NA,NA
2008/09,KS08,KNE,90000,NA,NA,NA
2008/09,KS08,KSH,170000,NA,NA,NA
2008/09,MS08,M,10000,NA,NA,NA
2008/09,OS08,O,10000,NA,NA,NA
2008/09,QS08,Q,50000,NA,NA,NA
2009/10,DS09,YAK,185000,NA,NA,NA
2009/10,ES09,EKI,15000,8700,NA,NA
2009/10,ES09,WKI,5000,2700,NA,NA
2009/10,HS09,KAM,14000,NA,NA,NA
2009/10,KS09,KNE,75000,217000,NA,7
2009/10,KS09,KSH,170000,25000,NA,96
2009/10,KS09,KSW,25000,12000,NA,50
2009/10,OS09,O,10000,10000,NA,10
2009/10,QS09,Q,50000,260000,300000,500
2010/11,DS10,YAK,185000,NA,NA,NA
2010/11,ES10,EKI,8400,1643,NA,NA
2010/11,HS10,KAM,14000,NA,NA,NA
2010/11,KS10,KNE,65000,169925,NA,13
2010/11,KS10,KSH,170000,26400,NA,7
2010/11,KS10,KSW,25000,12000,NA,50
2010/11,OS10,O,10000,10000,NA,10
2010/11,QS10,Q,50000,130000,300000,500
2011/12,DS11,YAK,185000,NA,NA,NA
2011/12,ES11,EKI,8400,1643,NA,NA
2011/12,HS11,KAM,12500,NA,NA,NA
2011/12,KS11,KNE,70000,147956,NA,8
2011/12,KS11,KSH,135000,28636,NA,134
2011/12,KS11,KSW,25000,12000,NA,50
2011/12,OS11,O,10000,10000,NA,10
2011/12,QS11,Q,50000,65000,300000,500
2012/13,DS12,YAK,145000,NA,NA,NA
2012/13,HS12,KAM,12500,3200,NA,30
2012/13,KS12,KNE,60000,50874,NA,7
2012/13,KS12,KSH,105000,80540,NA,175
2012/13,KS12,KSW,25000,12000,NA,50
2012/13,MS12,UB,15000,12000,NA,50
2012/13,OS12,O,5000,5000,NA,10
2012/13,QS12,Q,50000,65000,300000,500
2013/14,DS13,YAK,145000,NA,NA,NA
2013/14,KS13,KNE,55000,49124,NA,25
2013/14,KS13,KSEM,20000,9600,NA,50
2013/14,KS13,KSH,105000,27450,NA,50
2013/14,KS13,KSW,25000,12000,NA,50
2013/14,MS13,UB,15000,12000,NA,50
2013/14,OS13,O,5000,5000,NA,10
2013/14,QS13,Q,50000,260000,300000,500
2014/15,DS14,YAK,145000,NA,NA,NA
2014/15,KS14,KNE,55000,256466,NA,25
2014/15,KS14,KSH,105000,42144,NA,50
2014/15,KS14,KSW,25000,12000,NA,50
2014/15,MS14,C,7500,NA,NA,NA
2014/15,MS14,UB,15000,12000,NA,50
2014/15,OS14,O,5000,5000,NA,10
2014/15,QS14,Q,50000,260000,300000,500
2015/16,DS15,YAK,145000,NA,NA,NA
2015/16,HS15,KAM,10000,3933,NA,30
2015/16,KS15,KNE,55000,93929,NA,25
2015/16,KS15,KSH,75000,19107,NA,50
2015/16,KS15,KSW,25000,12000,NA,50
2015/16,MS15,C,7500,NA,NA,NA
2015/16,MS15,UB,15000,12000,NA,50
2015/16,OS15,O,10000,10000,NA,20
2015/16,QS15,Q,7500,260000,300000,500
2016/17,DS16,YAK,125000,NA,NA,NA
2016/17,ES16,WKI,6300,1561,NA,NA
2016/17,HS16,KAM,10000,3933,NA,30
2016/17,KS16,KNE,55000,20816,NA,25
2016/17,KS16,KSH,25000,43477,NA,50
2016/17,KS16,KSW,25000,12000,NA,50
2016/17,MS16,C,7500,NA,NA,NA
2016/17,MS16,UB,15000,12000,NA,50
2016/17,OS16,O,10000,10000,NA,20
2016/17,QS16,Q,7500,260000,300000,500
2017/18,DS17,YAK,145000,NA,NA,NA
2017/18,ES17,WKI,6300,1600,NA,NA
2017/18,HS17,KAM,10000,3933,NA,30
2017/18,KS17,KNE,55000,19388,NA,25
2017/18,KS17,KSH,25000,63926,NA,50
2017/18,KS17,KSW,25000,12000,NA,50
2017/18,MS17,C,7500,NA,NA,NA
2017/18,MS17,UB,15000,12000,NA,50
2017/18,OS17,O,10000,10000,NA,20
2017/18,QS17,Q,7500,65000,300000,500
2018/19,DS18,YAK,145000,NA,NA,NA
2018/19,ES18,WKI,6300,1600,NA,NA
2018/19,KS18,KNE,15000,9000,NA,25
2018/19,KS18,KSE,15000,7500,NA,25
2018/19,KS18,KSH,25000,12500,NA,25
2018/19,KS18,KSW,30000,18000,NA,25
2018/19,MS18,C,7500,3750,NA,25
2018/19,MS18,UB,15000,7500,NA,25
2018/19,OS18,O,5000,5000,NA,10
2018/19,QS18,Q,7500,65000,300000,500
2019/20,DS19,YAK,155000,NA,NA,NA
2019/20,KS19,KNE,15000,9000,NA,25
2019/20,KS19,KSE,15000,9000,NA,25
2019/20,KS19,KSH,20000,10000,NA,25
2019/20,KS19,KSW,35000,17500,NA,25
2019/20,MS19,C,7500,3750,NA,25
2019/20,MS19,UB,7500,3750,NA,25
2019/20,OS19,O,5000,5000,NA,10
2019/20,QS19,Q,7500,65000,300000,500
